step,sg_loss,cbow_loss,var_loss,lr
16700,3.390846,3.583585,2.464478,0.024998
16750,3.334729,3.554195,2.438435,0.024997
16800,3.301181,3.449003,2.396290,0.024997
16850,3.224782,3.305887,2.356037,0.024997
16900,3.341595,3.537888,2.440216,0.024997
16950,3.297208,3.471274,2.403534,0.024997
17000,3.337963,3.490516,2.431855,0.024997
17050,3.298872,3.494310,2.419994,0.024997
17100,3.236943,3.252433,2.354190,0.024997
17150,3.337298,3.516362,2.438250,0.024997
17200,3.390380,3.537856,2.465271,0.024997
17250,3.256402,3.370949,2.381054,0.024997
17300,3.307373,3.505842,2.420364,0.024997
17350,3.232859,3.354884,2.370354,0.024997
17400,3.267592,3.396513,2.362212,0.024997
17450,3.350052,3.533732,2.447065,0.024997
17500,3.280659,3.434905,2.399039,0.024997
17550,3.251767,3.450898,2.390089,0.024997
17600,3.264395,3.418688,2.375336,0.024997
17650,3.288741,3.432052,2.396137,0.024997
17700,3.311037,3.518197,2.423157,0.024997
17750,3.364235,3.507699,2.432120,0.024997
17800,3.269169,3.346177,2.378806,0.024997
17850,3.321202,3.501342,2.425888,0.024997
17900,3.297878,3.507456,2.427448,0.024997
17950,3.282397,3.403065,2.386996,0.024997
18000,3.312743,3.469567,2.425967,0.024997
18050,3.331962,3.465988,2.421034,0.024997
18100,3.369637,3.599987,2.458061,0.024997
18150,3.312983,3.491892,2.426354,0.024997
18200,3.084473,3.179212,2.266581,0.024997
18250,3.192583,3.293959,2.342093,0.024997
18300,3.344750,3.502408,2.423290,0.024997
18350,3.273890,3.385251,2.380142,0.024997
18400,3.319154,3.470667,2.425099,0.024997
18450,3.355158,3.532326,2.448573,0.024997
18500,3.294224,3.463652,2.420278,0.024997
18550,3.265820,3.419682,2.383237,0.024997
18600,3.346922,3.568110,2.446852,0.024997
18650,3.259563,3.366647,2.388802,0.024997
18700,3.296023,3.437375,2.400904,0.024997
18750,3.296545,3.476227,2.418333,0.024997
18800,3.345205,3.467322,2.429227,0.024997
18850,3.145754,3.225533,2.312995,0.024997
18900,3.256889,3.393256,2.389764,0.024997
18950,3.382384,3.548976,2.457269,0.024997
19000,3.228308,3.344406,2.360665,0.024997
19050,3.319419,3.529769,2.426220,0.024997
19100,3.293030,3.394467,2.404120,0.024996
19150,3.293773,3.468860,2.407514,0.024996
19200,3.311186,3.478118,2.419652,0.024996
19250,3.051435,3.156482,2.241724,0.024996
19300,3.380784,3.480375,2.445558,0.024996
19350,3.279369,3.402906,2.393641,0.024996
19400,3.357562,3.410217,2.424489,0.024996
19450,3.110683,3.188751,2.273786,0.024996
19500,3.233343,3.398797,2.372026,0.024996
