step,recon_loss,pred_loss,total_loss,lr
21950,5.150775,5.672488,8.247875,0.000299
22000,5.175838,5.698504,8.286423,0.000299
22050,5.016681,5.528201,8.036541,0.000299
22100,4.971147,5.466668,7.952242,0.000299
22150,5.088284,5.599456,8.143598,0.000299
22200,4.912363,5.479538,7.935720,0.000299
22250,4.283473,4.935725,7.077461,0.000299
22300,4.185962,4.838416,6.931396,0.000299
22350,4.383038,5.047547,7.239066,0.000299
22400,4.247454,4.967027,7.090754,0.000299
22450,4.506744,5.184127,7.437499,0.000299
22500,4.615240,5.271651,7.579271,0.000299
22550,4.500656,5.194684,7.445012,0.000299
22600,4.735208,5.444799,7.812403,0.000299
22650,4.964043,5.628808,8.110829,0.000299
22700,5.067560,5.691050,8.224830,0.000299
22750,5.009018,5.676104,8.180613,0.000299
22800,4.779988,5.505120,7.895113,0.000299
22850,4.707072,5.433374,7.786910,0.000299
22900,4.658917,5.408535,7.737993,0.000299
22950,4.410794,5.280340,7.485737,0.000299
23000,4.157403,5.129835,7.208537,0.000299
23050,4.345911,5.221971,7.394926,0.000299
23100,4.532393,5.287632,7.553828,0.000299
23150,4.159751,4.937650,7.017526,0.000299
23200,3.847784,4.653089,6.576981,0.000299
23250,4.283890,5.048299,7.190244,0.000299
23300,4.840978,5.524779,7.945268,0.000299
23350,4.768897,5.510994,7.895443,0.000299
23400,4.464823,5.339070,7.571482,0.000299
23450,4.553602,5.421619,7.698420,0.000299
23500,4.636228,5.492802,7.810916,0.000299
23550,4.724068,5.525781,7.887815,0.000299
23600,4.929460,5.600885,8.065616,0.000299
23650,4.857233,5.570597,7.999214,0.000299
23700,4.834336,5.672414,8.089582,0.000299
23750,4.821549,5.652491,8.063266,0.000299
23800,4.723919,5.413024,7.774983,0.000299
23850,4.707710,5.437853,7.791708,0.000299
23900,4.525154,5.448963,7.711540,0.000299
23950,4.569122,5.432895,7.717456,0.000299
24000,4.864748,5.646639,8.079013,0.000299
24050,4.769083,5.603920,7.988462,0.000299
24100,4.642515,5.485663,7.806921,0.000299
24150,4.817721,5.631495,8.040356,0.000299
24200,4.875749,5.626355,8.064229,0.000299
24250,4.897125,5.581792,8.030354,0.000299
24300,4.893497,5.547106,7.993854,0.000299
24350,4.654716,5.311014,7.638372,0.000299
24400,4.599418,5.358576,7.658284,0.000299
24450,4.430017,5.276144,7.491153,0.000299
24500,4.339886,5.220353,7.390296,0.000299
24550,4.318304,5.288882,7.448034,0.000299
24600,4.332198,5.334782,7.500881,0.000299
24650,4.431683,5.393629,7.609470,0.000299
24700,4.555501,5.488358,7.766109,0.000299
24750,4.658888,5.601148,7.930591,0.000299
24800,4.671107,5.625286,7.960840,0.000299
24850,4.745422,5.694268,8.066979,0.000299
24900,4.686424,5.643827,7.987039,0.000299
24950,4.541228,5.533147,7.803761,0.000299
25000,4.560853,5.491017,7.771444,0.000299
25050,4.775581,5.646156,8.033947,0.000299
25100,4.608777,5.538679,7.843068,0.000299
25150,4.391149,5.255927,7.451502,0.000299
25200,4.534818,5.409766,7.677175,0.000299
25250,4.493936,5.465813,7.712781,0.000299
25300,4.400403,5.381823,7.582024,0.000299
25350,4.193363,5.300560,7.397241,0.000299
25400,4.183165,5.322607,7.414190,0.000299
25450,4.305248,5.411698,7.564322,0.000299
25500,4.156792,5.316253,7.394649,0.000299
25550,4.220248,5.386197,7.496321,0.000299
25600,4.435276,5.513662,7.731300,0.000299
25650,4.509922,5.483222,7.738183,0.000299
25700,4.355580,5.150504,7.328294,0.000299
25750,3.871930,4.607442,6.543407,0.000299
25800,3.913015,4.790594,6.747101,0.000299
25850,4.360585,5.387188,7.567480,0.000299
25900,4.520747,5.619589,7.879962,0.000299
25950,4.495963,5.571448,7.819429,0.000299
26000,4.267556,5.391930,7.525708,0.000299
26050,4.272784,5.415778,7.552170,0.000299
26100,4.376445,5.518612,7.706834,0.000299
26150,4.297577,5.481924,7.630712,0.000299
26200,4.139033,5.325065,7.394582,0.000299
26250,4.352676,5.422683,7.599021,0.000299
26300,4.649512,5.700780,8.025536,0.000299
26350,4.496370,5.605575,7.853759,0.000299
26400,4.224915,5.365395,7.477852,0.000299
26450,3.979401,5.252435,7.242136,0.000299
26500,3.695806,5.064515,6.912418,0.000299
26550,3.666113,5.057171,6.890227,0.000299
26600,3.684927,5.103452,6.945916,0.000299
26650,3.511449,4.988233,6.743957,0.000299
26700,3.966894,5.253230,7.236677,0.000299
26750,4.539145,5.671236,7.940809,0.000299
26800,4.396827,5.614904,7.813317,0.000299
26850,4.047093,5.328300,7.351847,0.000299
26900,4.023006,5.340102,7.351606,0.000299
26950,4.087487,5.419864,7.463607,0.000299
27000,4.139541,5.401236,7.471006,0.000299
27050,4.111575,5.367178,7.422966,0.000299
27100,3.844013,5.211913,7.133920,0.000299
27150,3.629434,5.071656,6.886373,0.000299
27200,3.633745,5.105149,6.922022,0.000299
27250,3.923532,5.159592,7.121358,0.000299
27300,4.161964,5.313855,7.394837,0.000299
27350,4.177565,5.503701,7.592484,0.000299
27400,4.076383,5.382367,7.420559,0.000299
27450,3.927296,5.123372,7.087020,0.000299
27500,3.847155,4.995764,6.919341,0.000299
27550,3.826314,5.139132,7.052289,0.000299
27600,3.686525,5.208735,7.051998,0.000299
27650,3.738644,5.311263,7.180585,0.000299
27700,3.942206,5.493890,7.464993,0.000299
27750,3.927205,5.438318,7.401921,0.000299
27800,4.123461,5.533320,7.595051,0.000299
27850,4.116331,5.531635,7.589801,0.000299
27900,3.629786,5.185675,7.000568,0.000299
27950,3.408925,5.012569,6.717032,0.000299
28000,3.488802,5.070184,6.814585,0.000299
28050,3.765247,5.238713,7.121337,0.000299
28100,3.552465,4.864711,6.640944,0.000299
28150,3.366431,4.675116,6.358331,0.000299
28200,3.822021,5.208496,7.119507,0.000299
28250,3.746555,5.323690,7.196968,0.000299
28300,3.316300,5.118788,6.776938,0.000299
28350,3.288903,5.072523,6.716974,0.000299
28400,3.833832,5.413539,7.330455,0.000299
28450,4.221123,5.677268,7.787829,0.000299
28500,4.111613,5.604984,7.660790,0.000299
28550,3.977390,5.506046,7.494741,0.000299
28600,3.958476,5.470242,7.449480,0.000299
28650,3.938781,5.433786,7.403177,0.000299
28700,3.874827,5.292434,7.229847,0.000299
28750,3.708221,5.047711,6.901821,0.000299
28800,3.374053,4.722047,6.409073,0.000299
28850,3.143097,4.505424,6.076972,0.000299
28900,3.087450,4.471167,6.014893,0.000299
28950,3.289998,4.797123,6.442122,0.000299
29000,3.334836,5.014743,6.682161,0.000299
29050,3.269250,5.017465,6.652090,0.000299
29100,3.222079,5.046941,6.657980,0.000299
29150,3.291944,5.082112,6.728084,0.000299
29200,3.609979,5.271054,7.076044,0.000299
29250,3.557382,5.187042,6.965733,0.000299
29300,3.542499,5.081347,6.852597,0.000299
29350,3.815170,5.291379,7.198963,0.000299
29400,3.801930,5.365182,7.266147,0.000299
29450,3.433245,5.183009,6.899632,0.000298
29500,2.997486,4.976571,6.475314,0.000298
29550,2.773435,4.827470,6.214188,0.000298
29600,2.856758,4.847167,6.275546,0.000298
29650,3.320349,5.126631,6.786806,0.000298
29700,3.599702,5.227742,7.027593,0.000298
29750,3.705897,5.305597,7.158545,0.000298
29800,3.729875,5.386718,7.251655,0.000298
29850,3.573894,5.316615,7.103562,0.000298
29900,3.658480,5.409076,7.238317,0.000298
29950,3.775947,5.484454,7.372427,0.000298
30000,3.468241,5.163156,6.897276,0.000298
30050,2.996894,4.725864,6.224311,0.000298
30100,2.571238,4.545075,5.830694,0.000298
30150,2.474625,4.522347,5.759660,0.000298
30200,2.996305,4.868450,6.366603,0.000298
