step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
15750,1.439489,1.652163,1.306343,0.325809,0.250000,0.000299
15800,1.445820,1.630727,1.325792,0.269241,0.250000,0.000299
15850,1.438452,1.665035,1.288057,0.348135,0.250000,0.000299
15900,1.341388,1.557550,1.197942,0.393749,0.250000,0.000299
15950,1.256795,1.438767,1.135971,0.418007,0.250000,0.000299
16000,1.202719,1.366093,1.094227,0.446423,0.250000,0.000299
16050,1.280452,1.452798,1.169661,0.398483,0.250000,0.000299
16100,1.514433,1.712996,1.387248,0.231336,0.250000,0.000299
16150,1.580250,1.775634,1.452630,0.248771,0.250000,0.000299
16200,1.394893,1.609312,1.255361,0.353558,0.250000,0.000299
16250,1.374836,1.583583,1.230192,0.330098,0.250000,0.000299
16300,1.564847,1.778769,1.415885,0.255829,0.250000,0.000299
16350,1.627819,1.881865,1.451847,0.270404,0.250000,0.000299
16400,1.493522,1.737269,1.318055,0.254274,0.250000,0.000299
16450,1.108000,1.307209,0.975899,0.559493,0.250000,0.000299
16500,0.718208,0.848420,0.643138,0.635768,0.250000,0.000299
16550,0.910401,1.065771,0.820881,0.384743,0.250000,0.000299
16600,1.298434,1.497569,1.181031,0.358076,0.250000,0.000299
16650,1.385460,1.594160,1.262843,0.314773,0.250000,0.000299
16700,1.475526,1.706346,1.330418,0.322622,0.250000,0.000299
16750,1.510609,1.709340,1.377144,0.347400,0.250000,0.000299
16800,1.379554,1.557489,1.265392,0.382261,0.250000,0.000299
16850,1.293544,1.491357,1.176097,0.368917,0.250000,0.000299
16900,1.354745,1.555589,1.237682,0.346112,0.250000,0.000299
16950,1.536294,1.737948,1.411961,0.157667,0.250000,0.000299
17000,1.591203,1.799801,1.455790,0.258041,0.250000,0.000299
17050,1.404615,1.617530,1.263840,0.346144,0.250000,0.000299
17100,1.250923,1.448379,1.118295,0.400852,0.250000,0.000299
17150,1.281078,1.477345,1.143977,0.489066,0.250000,0.000299
17200,1.274694,1.471429,1.134683,0.521969,0.250000,0.000299
17250,1.207943,1.386247,1.081381,0.561850,0.250000,0.000299
17300,1.227293,1.409165,1.099752,0.356997,0.250000,0.000299
17350,1.435394,1.629828,1.301256,0.319737,0.250000,0.000299
17400,1.534711,1.725892,1.399208,0.315924,0.250000,0.000299
17450,1.301933,1.481189,1.174439,0.473089,0.250000,0.000299
17500,1.105146,1.261853,0.997208,0.493097,0.250000,0.000299
17550,1.063311,1.237798,0.949621,0.513118,0.250000,0.000299
17600,1.095850,1.305100,0.957134,0.340332,0.250000,0.000299
17650,1.277125,1.468445,1.141439,0.377420,0.250000,0.000299
17700,1.643482,1.841833,1.503702,0.223429,0.250000,0.000299
17750,1.759182,1.958225,1.624042,0.327528,0.250000,0.000299
17800,1.525009,1.718389,1.392983,0.401008,0.250000,0.000299
17850,1.403727,1.572315,1.280050,0.317647,0.250000,0.000299
17900,1.298108,1.390505,1.224679,0.376491,0.250000,0.000299
17950,1.217508,1.302970,1.152546,0.457058,0.250000,0.000299
18000,1.122656,1.241173,1.035759,0.545543,0.250000,0.000299
18050,0.981036,1.094479,0.898116,0.564086,0.250000,0.000299
18100,0.951653,1.052545,0.877944,0.537635,0.250000,0.000299
18150,0.978738,1.088220,0.905881,0.379032,0.250000,0.000299
18200,1.000523,1.124883,0.927757,0.364385,0.250000,0.000299
18250,0.995465,1.125107,0.923585,0.355994,0.250000,0.000299
18300,1.035509,1.215266,0.933360,0.412655,0.250000,0.000299
18350,1.001356,1.197761,0.889032,0.533497,0.250000,0.000299
18400,1.064268,1.213532,0.977831,0.325089,0.250000,0.000299
18450,1.163065,1.342800,1.054478,0.444088,0.250000,0.000299
18500,1.110581,1.319727,0.982436,0.424541,0.250000,0.000299
18550,1.203645,1.375782,1.089423,0.389135,0.250000,0.000299
18600,1.113833,1.226515,1.038455,0.421238,0.250000,0.000299
18650,1.036425,1.137333,0.974751,0.325484,0.250000,0.000299
18700,1.258076,1.428376,1.150012,0.396904,0.250000,0.000299
18750,1.200302,1.387522,1.085874,0.427154,0.250000,0.000299
18800,1.100325,1.270104,0.997695,0.399647,0.250000,0.000299
18850,1.166866,1.327351,1.064861,0.416519,0.250000,0.000299
18900,1.069296,1.180295,1.001436,0.484469,0.250000,0.000299
18950,0.975634,1.072529,0.923547,0.410241,0.250000,0.000299
19000,0.998274,1.098364,0.942095,0.351938,0.250000,0.000299
19050,0.979995,1.050242,0.938193,0.394270,0.250000,0.000299
19100,0.937758,0.995435,0.903326,0.392786,0.250000,0.000299
19150,1.006042,1.077154,0.962170,0.302119,0.250000,0.000299
19200,1.337338,1.462957,1.253897,0.269526,0.250000,0.000299
19250,1.514680,1.668945,1.409413,0.279092,0.250000,0.000299
