step,recon_loss,contrastive_loss,variance_loss,covariance_loss,em_ema,contrastive_weight,lr
14200,6.424813,0.061383,0.972437,0.000056,0.000035,0.100000,0.000299
14250,6.445127,0.056110,0.971751,0.000070,0.000001,0.100000,0.000299
14300,6.424726,0.023386,0.971073,0.000069,0.001490,0.100000,0.000299
14350,6.603468,0.035330,0.971390,0.000062,0.000143,0.100000,0.000299
14400,6.780566,0.041536,0.971622,0.000057,0.000006,0.100000,0.000299
14450,6.795155,0.040338,0.971622,0.000056,0.000514,0.100000,0.000299
14500,6.685806,0.044750,0.971874,0.000053,0.000374,0.100000,0.000299
14550,6.630072,0.041742,0.972066,0.000051,0.000015,0.100000,0.000299
14600,6.731451,0.062606,0.972498,0.000048,0.000830,0.100000,0.000299
14650,6.670107,0.082801,0.973155,0.000043,0.000556,0.100000,0.000299
14700,6.576890,0.062957,0.972979,0.000043,0.000023,0.100000,0.000299
14750,6.571757,0.044644,0.972152,0.000059,0.000001,0.100000,0.000299
14800,6.762539,0.035586,0.971967,0.000067,0.000000,0.100000,0.000299
14850,6.951538,0.022320,0.971929,0.000062,0.000000,0.100000,0.000299
14900,6.926819,0.015733,0.971541,0.000062,0.000000,0.100000,0.000299
14950,6.844559,0.018930,0.971607,0.000059,0.000402,0.100000,0.000299
15000,6.680611,0.029548,0.972153,0.000052,0.000016,0.100000,0.000299
15050,6.539244,0.043262,0.972555,0.000047,0.000001,0.100000,0.000299
15100,6.586303,0.049074,0.972863,0.000045,0.000249,0.100000,0.000299
15150,6.677174,0.045048,0.973026,0.000044,0.001123,0.100000,0.000299
15200,6.585968,0.042921,0.972598,0.000044,0.000204,0.100000,0.000299
15250,6.656283,0.050755,0.972598,0.000043,0.000133,0.100000,0.000299
15300,6.760152,0.048874,0.972677,0.000042,0.000005,0.100000,0.000299
15350,6.035074,0.074487,0.973230,0.000041,0.000178,0.100000,0.000299
15400,6.018934,0.082083,0.973664,0.000041,0.000007,0.100000,0.000299
15450,6.407631,0.111461,0.974007,0.000039,0.000000,0.100000,0.000299
15500,6.094073,0.137717,0.973846,0.000038,0.043016,0.100000,0.000299
15550,6.373076,0.091072,0.972745,0.000042,0.003098,0.100000,0.000299
15600,6.543433,0.064695,0.972144,0.000044,0.006536,0.100000,0.000299
15650,6.306145,0.046519,0.971717,0.000047,0.012459,0.100000,0.000299
15700,6.162448,0.040586,0.971822,0.000046,0.019932,0.100000,0.000299
15750,6.340327,0.108620,0.973999,0.000037,0.016696,0.100000,0.000299
15800,6.691318,0.119201,0.974923,0.000035,0.003013,0.100000,0.000299
15850,6.888421,0.044708,0.972968,0.000042,0.000123,0.100000,0.000299
15900,6.865011,0.033456,0.971962,0.000047,0.000725,0.100000,0.000299
15950,6.700113,0.040912,0.971932,0.000049,0.000218,0.100000,0.000299
16000,6.802388,0.037418,0.972296,0.000047,0.000009,0.100000,0.000299
16050,6.878825,0.030695,0.972845,0.000043,0.000000,0.100000,0.000299
16100,6.745402,0.030997,0.973283,0.000042,0.000000,0.100000,0.000299
16150,6.675676,0.036210,0.973362,0.000041,0.000727,0.100000,0.000299
16200,6.681870,0.056040,0.973034,0.000041,0.000030,0.100000,0.000299
16250,6.488087,0.058053,0.972308,0.000044,0.000001,0.100000,0.000299
16300,6.243187,0.033450,0.971627,0.000048,0.000000,0.100000,0.000299
16350,6.167419,0.028473,0.971843,0.000047,0.000494,0.100000,0.000299
16400,6.090720,0.027834,0.972028,0.000046,0.002829,0.100000,0.000299
16450,6.422689,0.044225,0.973213,0.000041,0.000115,0.100000,0.000299
16500,6.892449,0.046803,0.973929,0.000039,0.000005,0.100000,0.000299
16550,6.765281,0.041062,0.973086,0.000042,0.000000,0.100000,0.000299
16600,6.400495,0.077416,0.973028,0.000044,0.000000,0.100000,0.000299
16650,5.965872,0.089413,0.972918,0.000044,0.000935,0.100000,0.000299
16700,5.468071,0.060215,0.972286,0.000045,0.002491,0.100000,0.000299
16750,5.256717,0.065197,0.972559,0.000045,0.003373,0.100000,0.000299
16800,5.733495,0.074050,0.973558,0.000042,0.000137,0.100000,0.000299
16850,6.304214,0.051950,0.973366,0.000042,0.000740,0.100000,0.000299
16900,6.251590,0.049090,0.973025,0.000044,0.000373,0.100000,0.000299
16950,6.150803,0.046874,0.973045,0.000043,0.001254,0.100000,0.000299
17000,6.087516,0.034577,0.972882,0.000042,0.000622,0.100000,0.000299
17050,6.221550,0.051131,0.972983,0.000042,0.001376,0.100000,0.000299
17100,6.468132,0.052244,0.972794,0.000045,0.000097,0.100000,0.000299
17150,6.449899,0.029766,0.972387,0.000046,0.000279,0.100000,0.000299
17200,6.645025,0.032219,0.972376,0.000047,0.000011,0.100000,0.000299
17250,6.774834,0.036255,0.972272,0.000047,0.000000,0.100000,0.000299
17300,6.654070,0.034531,0.972066,0.000047,0.000930,0.100000,0.000299
17350,6.471220,0.032416,0.972041,0.000047,0.000716,0.100000,0.000299
17400,6.486858,0.027276,0.972040,0.000048,0.000029,0.100000,0.000299
17450,6.695652,0.037010,0.972466,0.000046,0.000001,0.100000,0.000299
17500,6.837134,0.036554,0.973164,0.000043,0.000084,0.100000,0.000299
17550,6.910020,0.028108,0.973013,0.000043,0.000003,0.100000,0.000299
17600,6.704755,0.036031,0.972492,0.000046,0.000000,0.100000,0.000299
17650,6.405819,0.065424,0.972805,0.000044,0.000000,0.100000,0.000299
17700,6.148216,0.076894,0.972842,0.000044,0.000000,0.100000,0.000299
17750,5.985774,0.071326,0.972208,0.000045,0.000000,0.100000,0.000299
17800,5.902018,0.082448,0.972237,0.000044,0.001088,0.100000,0.000299
17850,5.751323,0.087459,0.972271,0.000048,0.000824,0.100000,0.000299
17900,6.087281,0.076621,0.972195,0.000050,0.000677,0.100000,0.000299
17950,6.538082,0.051569,0.971996,0.000047,0.001181,0.100000,0.000299
18000,6.636768,0.045391,0.972224,0.000045,0.000092,0.100000,0.000299
18050,6.650660,0.042718,0.972457,0.000044,0.000056,0.100000,0.000299
18100,6.515837,0.030158,0.971919,0.000047,0.000002,0.100000,0.000299
